Neighborhood,Store,Address,Latitude,Longitude
Allston,Shaw’s,"370 Western Ave, Allston, MA 02134",42.3610091,-71.1375195
Allston,Super 88,"1 Brighton Ave, Boston, MA 02134",42.3524043,-71.1253923
Allston,Shaw’s,1065 Commonwealth Ave.,42.3526094,-71.1234984
Allston,Super Stop & Shop,"60 Everett St, Boston, MA 02134",42.3565798,-71.1398385
Back Bay,Shaw’s,53 Huntington Avenue,42.3478421,-71.0793972
Back Bay,Trader Joe’s,899 Boylston Street,42.3484566,-71.0840861
Brighton,Whole Foods Market,"15 Washington St, Brighton, MA 02135",42.3427707,-71.1403026
Charlestown,Whole Foods,"27 Austin St, Charlestown, MA 02129",42.3756124,-71.0663979
Dorchester,America’s Food Basket,500 Geneva Avenue,42.3037671,-71.0718624
Dorchester,America’s Food Basket,"576 Washington St, Brookline, MA 02446",42.3382939,-71.129321
Dorchester,Shaw’s,45 Morrissey Boulevard,42.3184171,-71.0506125
Dorchester,Super Stop & Shop,545 Freeport Street,42.2926289,-71.048848
Dorchester,Kam Man Food,101 All State Rd./South Bay Mall,42.3267576,-71.0630645
Dorchester,Super Stop & Shop,1100 Mass. Ave./South Bay Mall,42.326498,-71.0651599
East Boston,Shaw’s,246 Border Street,42.3765905,-71.0403657
Fenway,Whole Foods Market,15 Westland Avenue,42.3435358,-71.0863043
Fenway,Shaw’s,33 Kilmarnock Street,42.3435518,-71.1004557
Hyde Park,America’s Food Basket,942 Hyde Park Avenue,42.267672,-71.120811
Hyde Park,Shaw’s,"1377 Hyde Park Ave, Hyde Park, MA 02136",42.2518761,-71.1260055
Hyde Park,Stop & Shop,1025 Truman Highway,42.2423342,-71.1272125
Hyde Park,Price Rite,"870 River St, Hyde Park, MA 02136",42.2619881,-71.1076244
Jamaica Plain,Harvest Co-op Markets,"3815 Washington St, Roslindale, MA 02131",42.2965124,-71.1161658
Jamaica Plain,Whole Foods,"413 Centre St, Jamaica Plain, MA 02130",42.3215807,-71.1109627
Jamaica Plain,Stop & Shop,"301 Centre St, Jamaica Plain, MA 02130",42.3241181,-71.1031667
Mattapan,Mars Farmers Market,"926 Cummins Hwy, Mattapan, MA 02126",42.268281,-71.0945239
Mattapan,Shaw’s,4 River Street,42.2426626,-71.1441321
Mission Hill,Stop & Shop,1620 Tremont Street,42.3333386,-71.1040947
Roslindale,Save A Lot,670-690 American Legion Hwy.,42.2841525,-71.1108908
Roslindale,The Village Market,30 Corinth Street,42.2862566,-71.1293942
Roslindale,Stop & Shop,950 American Legion Hwy.,42.2767264,-71.114795
Roxbury,Save A Lot,330 Martin Luther King Blvd.,42.3185306,-71.0826093
Roxbury,Stop & Shop,460 Blue Hill Avenue,42.2728538,-71.0937077
Roxbury,Tropical Foods,"2101 Washington St, Boston, MA 02119",42.3324358,-71.0817599
South Boston,Foodie’s Urban Market,"230 W Broadway, Boston, MA 02127",42.3398358,-71.0518661
South Boston,Stop & Shop,"713 E Broadway, Boston, MA 02127",42.3353462,-71.0366837
South End,Foodie’s Urban Market,"1421 Washington St, Boston, MA 02118",42.341141,-71.0708084
South End/Chinatown,Ming’s Supermarket,"1102 Washington St, Boston, MA 02118",42.3442158,-71.0656443
South End/Chinatown,C-Mart,50 Herald Street,42.3463211,-71.0650515
West End,Whole Foods Market,181 Cambridge Street,42.3620381,-71.0655752
West Roxbury,Roche Brothers,"1800 Centre St, Boston, MA 02132",42.2861965,-71.1519999
West Roxbury,Shaw’s,"75 Spring St, West Roxbury, MA 02132",42.2787501,-71.1633254
